region_code,weather_param,year,key,value
Max temp,Max temp,1910,JAN,5.4,
Max temp,Max temp,1910,FEB,6.8,
Max temp,Max temp,1910,MAR,9.1,
Max temp,Max temp,1910,APR,9.8,
Max temp,Max temp,1910,MAY,14.4,
Max temp,Max temp,1910,JUN,17.7,
Max temp,Max temp,1910,JUL,17.0,
Max temp,Max temp,1910,AUG,17.7,
Max temp,Max temp,1910,SEP,15.6,
Max temp,Max temp,1910,OCT,12.8,
Max temp,Max temp,1910,NOV,5.9,
Max temp,Max temp,1910,DEC,7.7,
Max temp,Max temp,1910,WIN,N/A,
Max temp,Max temp,1910,SPR,1.08,
Max temp,Max temp,1910,SUM,7.48,
Max temp,Max temp,1910,AUT,1.44,
Max temp,Max temp,1910,ANN,1.68,
Max temp,Max temp,1911,JAN,5.9,
Max temp,Max temp,1911,FEB,6.8,
Max temp,Max temp,1911,MAR,7.2,
Max temp,Max temp,1911,APR,10.3,
Max temp,Max temp,1911,MAY,16.4,
Max temp,Max temp,1911,JUN,17.8,
Max temp,Max temp,1911,JUL,21.4,
Max temp,Max temp,1911,AUG,21.2,
Max temp,Max temp,1911,SEP,17.3,
Max temp,Max temp,1911,OCT,11.8,
Max temp,Max temp,1911,NOV,7.8,
Max temp,Max temp,1911,DEC,7.7,
Max temp,Max temp,1911,WIN,6.79,
Max temp,Max temp,1911,SPR,1.31,
Max temp,Max temp,1911,SUM,0.19,
Max temp,Max temp,1911,AUT,2.30,
Max temp,Max temp,1911,ANN,2.68,
Max temp,Max temp,1912,JAN,5.3,
Max temp,Max temp,1912,FEB,7.0,
Max temp,Max temp,1912,MAR,9.2,
Max temp,Max temp,1912,APR,12.6,
Max temp,Max temp,1912,MAY,14.8,
Max temp,Max temp,1912,JUN,16.3,
Max temp,Max temp,1912,JUL,18.4,
Max temp,Max temp,1912,AUG,15.2,
Max temp,Max temp,1912,SEP,13.9,
Max temp,Max temp,1912,OCT,11.5,
Max temp,Max temp,1912,NOV,8.0,
Max temp,Max temp,1912,DEC,8.2,
Max temp,Max temp,1912,WIN,6.66,
Max temp,Max temp,1912,SPR,2.16,
Max temp,Max temp,1912,SUM,6.66,
Max temp,Max temp,1912,AUT,1.12,
Max temp,Max temp,1912,ANN,1.72,
Max temp,Max temp,1913,JAN,5.9,
Max temp,Max temp,1913,FEB,7.0,
Max temp,Max temp,1913,MAR,8.2,
Max temp,Max temp,1913,APR,10.5,
Max temp,Max temp,1913,MAY,14.3,
Max temp,Max temp,1913,JUN,17.1,
Max temp,Max temp,1913,JUL,17.6,
Max temp,Max temp,1913,AUG,18.6,
Max temp,Max temp,1913,SEP,16.5,
Max temp,Max temp,1913,OCT,13.2,
Max temp,Max temp,1913,NOV,10.2,
Max temp,Max temp,1913,DEC,6.6,
Max temp,Max temp,1913,WIN,7.04,
Max temp,Max temp,1913,SPR,1.01,
Max temp,Max temp,1913,SUM,7.79,
